time                            horizontal-angle     elevation-angle
2020-11-10 10:00:58.575          30.000          -0.000 
2020-11-10 10:00:59.576          30.000          -0.000 
2020-11-10 10:01:00.577          30.000          -0.000 
2020-11-10 10:01:01.577          30.000          -0.000 
2020-11-10 10:01:02.578          30.000          -0.000 
2020-11-10 10:01:03.579          30.000          -0.000 
2020-11-10 10:01:04.580          30.000          -0.000 
2020-11-10 10:01:05.581          30.000          -0.000 
2020-11-10 10:01:06.582          30.000          -0.000 
2020-11-10 10:01:07.583          30.000          -0.000 
2020-11-10 10:01:08.584          30.000          -0.000 
2020-11-10 10:01:09.585          30.000          -0.000 
2020-11-10 10:01:10.586          30.000          -0.000 
2020-11-10 10:01:11.587          30.000          -0.000 
2020-11-10 10:01:12.588          30.000          -0.000 
2020-11-10 10:01:13.588          30.000          -0.000 
2020-11-10 10:01:14.589          30.000          -0.000 
2020-11-10 10:01:15.590          30.000          -0.000 
2020-11-10 10:01:16.590          30.000          -0.000 
2020-11-10 10:01:17.591          30.000          -0.000 
2020-11-10 10:01:18.592          30.000          -0.000 
2020-11-10 10:01:19.593          30.000          -0.000 
2020-11-10 10:01:20.593          30.000          -0.000 
2020-11-10 10:01:21.594          30.000          -0.000 
2020-11-10 10:01:22.595          30.000          -0.000 
2020-11-10 10:01:23.596          30.000          -0.000 
2020-11-10 10:01:24.596          30.000          -0.000 
2020-11-10 10:01:25.597          30.000          -0.000 
2020-11-10 10:01:26.598          30.000          -0.000 
2020-11-10 10:01:27.599          30.000          -0.000 
2020-11-10 10:01:28.600          30.000          -0.000 
2020-11-10 10:01:29.600          30.000          -0.000 
2020-11-10 10:01:30.601          30.000          -0.000 
2020-11-10 10:01:31.602          30.000          -0.000 
2020-11-10 10:01:32.602          30.000          -0.000 
2020-11-10 10:01:33.603          30.000          -0.000 
2020-11-10 10:01:34.604          30.000          -0.000 
2020-11-10 10:01:35.605          30.000          -0.000 
2020-11-10 10:01:36.606          30.000          -0.000 
2020-11-10 10:01:37.606          30.000          -0.000 
2020-11-10 10:01:38.607          30.000          -0.000 
2020-11-10 10:01:39.608          30.000          -0.000 
2020-11-10 10:01:40.609          30.000          -0.000 
2020-11-10 10:01:41.610          30.000          -0.000 
2020-11-10 10:01:42.610          30.000          -0.000 
2020-11-10 10:01:43.611          30.000          -0.000 
2020-11-10 10:01:44.612          30.000          -0.000 
2020-11-10 10:01:45.613          30.000          -0.000 
2020-11-10 10:01:46.613          30.000          -0.000 
2020-11-10 10:01:47.614          30.000          -0.000 
2020-11-10 10:01:48.615          30.000          -0.000 
2020-11-10 10:01:49.616          30.000          -0.000 
2020-11-10 10:01:50.617          30.000          -0.000 
2020-11-10 10:01:51.617          30.000          -0.000 
2020-11-10 10:01:52.618          30.000          -0.000 
2020-11-10 10:01:53.619          30.000          -0.000 
2020-11-10 10:01:54.619          30.000          -0.000 
2020-11-10 10:01:55.620          30.000          -0.000 
2020-11-10 10:01:56.621          30.000          -0.000 
2020-11-10 10:01:57.622          30.000          -0.000 
2020-11-10 10:01:58.623          30.000          -0.000 
2020-11-10 10:01:59.623          30.000          -0.000 
2020-11-10 10:02:00.624          30.000          -0.000 
2020-11-10 10:02:01.625          30.000          -0.000 
2020-11-10 10:02:02.626          30.000          -0.000 
2020-11-10 10:02:03.626          30.000          -0.000 
2020-11-10 10:02:04.627          30.000          -0.000 
2020-11-10 10:02:05.628          30.000          -0.000 
2020-11-10 10:02:06.629          30.000          -0.000 
2020-11-10 10:02:07.630          30.000          -0.000 
2020-11-10 10:02:08.630          30.000          -0.000 
2020-11-10 10:02:09.631          30.000          -0.000 
2020-11-10 10:02:10.632          30.000          -0.000 
2020-11-10 10:02:11.632          30.000          -0.000 
2020-11-10 10:02:12.633          30.000          -0.000 
2020-11-10 10:02:13.634          30.000          -0.000 
2020-11-10 10:02:14.635          30.000          -0.000 
2020-11-10 10:02:15.636          30.000          -0.000 
2020-11-10 10:02:16.637          30.000          -0.000 
2020-11-10 10:02:17.637          30.000          -0.000 
2020-11-10 10:02:18.638          30.000          -0.000 
